dataset,column,classification,source_system,source_object,source_field,transformation,business_definition,keep_change_remove,notes
people_bronze.people_worker / people_silver.people_worker,source_system,SYNTHETIC_EXTENSION,globaltech_hris,,,constant globaltech_*,Label of the generating system,change,Replace with frappe_hr / greenhouse_v3 / microsoft_learn / onet / bls. Not a source HR field.
people_bronze.people_worker / people_silver.people_worker,source_record_id,CANONICAL_KEY,globaltech_hris,,name or id,identity of source PK,Source primary key persisted on ingest,change,Keep as ingestion key; value must equal the source PK (Frappe name / Greenhouse integer id).
people_bronze.people_worker / people_silver.people_worker,source_updated_at,SYNTHETIC_EXTENSION,globaltech_hris,,,set to pipeline ingested_at,Claimed source update timestamp,change,Must copy Frappe modified or Greenhouse updated_at. Currently the generator stamps ingest time.
people_bronze.people_worker / people_silver.people_worker,ingested_at,CANONICAL_KEY,people_pipeline,ingestion_run,,pipeline clock,When the lake row was written,keep,Allowed Bronze ingestion metadata. Add ingestion_run_id (missing today).
people_bronze.people_worker / people_silver.people_worker,worker_id,CANONICAL_KEY,frappe_hr,Employee,name / employee,identity after mapping,Canonical worker key,change,Today generated as W#####. Must equal or crosswalk Frappe Employee.name.
people_bronze.people_worker / people_silver.people_worker,preferred_first_name,SOURCE_NATIVE,frappe_hr,Employee,first_name,identity; optional preferred overlay later,Given name,change,"Frappe field is first_name, not preferred_first_name. Greenhouse Candidate.preferred_name is ATS-only."
people_bronze.people_worker / people_silver.people_worker,preferred_last_name,SOURCE_NATIVE,frappe_hr,Employee,last_name,identity,Family name,change,Rename to last_name to match ERPNext Employee.
people_bronze.people_worker / people_silver.people_worker,employment_status,SOURCE_NATIVE,frappe_hr,Employee,status,map Active/Inactive/Suspended/Left → canonical codes,Employment lifecycle status,change,"Current values are active/terminated. Source enum is Active, Inactive, Suspended, Left."
people_bronze.people_worker / people_silver.people_worker,hire_date,SOURCE_NATIVE,frappe_hr,Employee,date_of_joining,identity,First day of employment,change,Must use date_of_joining. Do not invent.
people_bronze.people_worker / people_silver.people_worker,termination_date,SOURCE_NATIVE,frappe_hr,Employee,relieving_date,identity,Last day of employment,change,Frappe also has Employee Separation.boarding_begins_on; relieving_date is the Employee master field.
people_bronze.people_worker / people_silver.people_worker,termination_reason,SOURCE_NATIVE,frappe_hr,Employee,reason_for_leaving,identity,Reason recorded on exit,change,Employee Separation is the process object; reason_for_leaving is on Employee.
people_bronze.people_worker / people_silver.people_worker,job_id,SYNTHETIC_EXTENSION,frappe_hr,Employee,designation,assumed job catalog key,Current job,change,"Frappe has Link Designation, not a synthetic JOB-FAM-LVL id. occupation_id must be a later mapping, not a worker source field."
people_bronze.people_worker / people_silver.people_worker,org_id,SYNTHETIC_EXTENSION,frappe_hr,Employee,department,assumed org tree key,Current organization unit,change,Must be Department.name. Current ORG-Function-Team ids are invented.
people_bronze.people_worker / people_silver.people_worker,location_id,SYNTHETIC_EXTENSION,frappe_hr,Employee,branch,assumed city codes,Current work location,change,ERPNext Branch has only field branch (name). US-NY style ids are invented.
people_bronze.people_worker / people_silver.people_worker,region,UNJUSTIFIED,,,,copied from synthetic location,AMER/EMEA/APAC band,remove,"Not on Employee or Branch. If needed, add a documented branch→region reference map — do not treat as HRIS native."
people_bronze.people_worker / people_silver.people_worker,manager_worker_id,SOURCE_NATIVE,frappe_hr,Employee,reports_to,identity via employee crosswalk,Manager employee,change,"reports_to is Link Employee. Join by employee id, never name."
people_bronze.people_worker / people_silver.people_worker,fte,UNJUSTIFIED,,,,sampled 0.5–1.0,Full-time equivalent,remove,ERPNext v16.0.0 Employee.json has no fte/occupancy field. Do not keep as canonical until a source field exists.
people_bronze.people_worker / people_silver.people_worker,gender,SOURCE_NATIVE,frappe_hr,Employee,gender,identity,HRIS gender on the employee master,change,Applicant EEOC gender is Greenhouse application grain and must not overwrite this field.
people_bronze.people_worker / people_silver.people_worker,generation,UNJUSTIFIED,frappe_hr,Employee,date_of_birth,age band invented without storing DOB,Generation cohort,remove,"DOB exists on Employee but is not persisted today. After mapping date_of_birth, generation may become DERIVED. Until then unjustified."
people_bronze.people_worker / people_silver.people_worker,ethnicity_band,UNJUSTIFIED,greenhouse_v3,eeoc / demographic_answers,race,random band on worker,Ethnicity on the employee row,remove,Greenhouse EEOC and demographic_answers are application-scoped. Frappe Employee has no ethnicity field. Do not store on worker.
people_bronze.people_org / people_silver.people_org,source_system,SYNTHETIC_EXTENSION,globaltech_hris,,,constant globaltech_*,Label of the generating system,change,Replace with frappe_hr / greenhouse_v3 / microsoft_learn / onet / bls. Not a source HR field.
people_bronze.people_org / people_silver.people_org,source_record_id,CANONICAL_KEY,globaltech_hris,,name or id,identity of source PK,Source primary key persisted on ingest,change,Keep as ingestion key; value must equal the source PK (Frappe name / Greenhouse integer id).
people_bronze.people_org / people_silver.people_org,source_updated_at,SYNTHETIC_EXTENSION,globaltech_hris,,,set to pipeline ingested_at,Claimed source update timestamp,change,Must copy Frappe modified or Greenhouse updated_at. Currently the generator stamps ingest time.
people_bronze.people_org / people_silver.people_org,ingested_at,CANONICAL_KEY,people_pipeline,ingestion_run,,pipeline clock,When the lake row was written,keep,Allowed Bronze ingestion metadata. Add ingestion_run_id (missing today).
people_bronze.people_org / people_silver.people_org,org_id,SYNTHETIC_EXTENSION,frappe_hr,Department,name,invented ORG-* ids,Organization unit key,change,"Use Department.name. Nested teams are parent_department, not invented team ids."
people_bronze.people_org / people_silver.people_org,org_name,SOURCE_NATIVE,frappe_hr,Department,department_name,identity,Department display name,change,Keep meaning; source field is department_name.
people_bronze.people_org / people_silver.people_org,parent_org_id,SOURCE_NATIVE,frappe_hr,Department,parent_department,identity,Parent department,change,
people_bronze.people_org / people_silver.people_org,org_level,DERIVED,frappe_hr,Department,"lft,rgt / parent_department",tree depth,Hierarchy depth,change,lft/rgt exist on Department. Do not invent levels independent of the tree.
people_bronze.people_org / people_silver.people_org,function_name,SYNTHETIC_EXTENSION,,,,first path segment of invented org_id,Function label,remove,Not a Frappe Department field. Derive from a documented department→function map if required.
people_bronze.people_org / people_silver.people_org,region,UNJUSTIFIED,,,,copied from workers,Region on org,remove,"Department has company, not region."
people_bronze.people_location / people_silver.people_location,source_system,SYNTHETIC_EXTENSION,globaltech_hris,,,constant globaltech_*,Label of the generating system,change,Replace with frappe_hr / greenhouse_v3 / microsoft_learn / onet / bls. Not a source HR field.
people_bronze.people_location / people_silver.people_location,source_record_id,CANONICAL_KEY,globaltech_hris,,name or id,identity of source PK,Source primary key persisted on ingest,change,Keep as ingestion key; value must equal the source PK (Frappe name / Greenhouse integer id).
people_bronze.people_location / people_silver.people_location,source_updated_at,SYNTHETIC_EXTENSION,globaltech_hris,,,set to pipeline ingested_at,Claimed source update timestamp,change,Must copy Frappe modified or Greenhouse updated_at. Currently the generator stamps ingest time.
